No,Genus of species 1,Species 1,Subspecies of species 1,Genus of species 2,Species 2,Subspecies of species 2,Sex,Country,Locality,Year,Photo no,Named hybrid,Collection,Collector,Author,Notes
1,Eueides,?vibilia,unifasciatus,Eueides,lybia,lybia,m,Brazil,Benjamin Constant,,lybvib01,,MN/UFRJ,K. Brown photo: MN4,,"F1; or maybe F1 lybia x tales, lybia x isabella, lybia x heliconioides?"
2,Eueides,isabella,eva,Eueides,vibilia,vialis,m,Mexico,Veracruz: Vigía,1978,isavib01,,UNAM,A. Díaz Francés,,"F1, presumably"
3,Eueides,isabella,eva,Eueides,vibilia,vialis,f,Mexico,Oaxaca: Chiltepec,1976,isavib02,,UNAM,A. Díaz Francés,,"F1, presumably"
4,Eueides,isabella,eva,Eueides,vibilia,vialis,m,Mexico,Oaxaca: Sierra Juárez Metates,1978,isavib03,,UNAM,A. Díaz Francés,,"F1, presumably"
5,Eueides,isabella,eva,Eueides,vibilia,vialis,m,Mexico,Oaxaca: Chiltepec,1975,isavib04,,UNAM,A. Díaz Francés,,"F1, presumably"
6,Eueides,isabella,eva,Eueides,procula,vulgiformis,m,Costa Rica,Cartago: Juan Viñas,1902,isapro01,,MCZ,"M.H. Carriker, jr.",,"F1, presumably"
7,Eueides,pavana,,Eueides,vibilia,vibilia,m,Brazil,?Rio de Janeiro,,pavvib01,,MN/UFRJ,K. Brown photo: MN6,,F1
8,Heliconius,numata,superioris,Heliconius,melpomene,melpomene,m,Brazil,Rio Arapiuns,1980,nummel02,,Wien,H. Holzinger,"Holzinger & Holzinger 1994: 24,5c",F1: has red bar on fw
9,Heliconius,numata,?superioris,Heliconius,melpomene,nr. meriana,m,Brazil,?Benjamin Constant ?Obidos,,nummel01,,MN/UFRJ,K. Brown photo: MN5,,F1?
10,Heliconius,numata,?superioris,Heliconius,melpomene,nr. meriana,m,Brazil,Pará: Obidos,1985,nummel03,nr. seraphini,Neukirchen,,,F1?
11,Heliconius,numata,aurora,Heliconius,melpomene,malleti,f,Peru,Loreto: Río Itaya,1997,nummel04,,Neukirchen,,,F1?
12,Heliconius,hecale,vetustus,Heliconius,melpomene,thelxiopeia x melpomene,m,Guyane,St. Laurent,<1932,hecmel01,seraphini Talbot (holotype),BM,,"Ackery & Smiles 1976:123, Brown 1976:15d",F1? Interpreted by Ackery & Smiles and Brown 1976 as numata numata x melpomene thelxiopeia
13,Heliconius,hecale,fortunatus,Heliconius,melpomene,melpomene,m,Brazil,?Benjamin Constant ?Obidos,,hecmel02,,MN/UFRJ,K. Brown photo: MN1,,F1
